aktinium;Ac
bromid praseodymitý;PrBr3
bromid promethitý;PmBr3
bromid radijnatý;RaBr2
bromid rhenitý;ReBr3
bromid rtuťnatý;HgBr2
bromid rtuťný;HgBr
;Hg2Br2
bromid rubidný;RbBr
bromid ruthenitý;RuBr3
bromid samaritý;SmBr3
bromid samarnatý;SmBr2
bromid seleničitý;SeBr4
bromid selenný;SeBr
;Se2Br2
bromid sirný;SBr
;S2Br2
bromid skanditý;ScBr3
bromid sodný;NaBr
bromid strontnatý;SrBr2
bromid stříbrný;AgBr
bromid tantaličitý;TaBr4
bromid tantaličný;TaBr5
bromid tantalitý;TaBr3
bromid telluričitý;TeBr4
bromid terbitý;TbBr3
bromid thallný;TlBr
bromid thoričitý;ThBr4
bromid thulitý;TmBr3
bromid titanatý;TiBr2
bromid titaničitý;TiBr4
bromid uhličitý;CBr4
bromid uraničitý;UBr4
bromid uranitý;UBr3
bromid uranylu;UO2Br2
bromid vanaditý;VBr3
bromid vanadnatý;VBr2
bromid vápenatý;CaBr2
bromid wolframičný;WBr5
bromid wolframnatý;WBr2
bromid wolframový;WBr6
bromid ytterbitý;YbBr3
bromid ytterbnatý;YbBr2
bromid yttritý;YBr3
bromid zinečnatý;ZnBr2
bromid zirkonatý;ZrBr2
bromid zirkoničitý;ZrBr4
bromid zirkonitý;ZrBr3
bromid zlatitý;AuBr3
bromid zlatný;AuBr
bromid železitý;FeBr3
bromid železnatý;FeBr2
bromid-oxid aktinitý;AcBrO
bromid-oxid berkelitý;BkBrO
bromid-oxid bismutitý;BiBrO
bromid-oxid ceritý;CeBrO
bromid-oxid erbitý;ErBrO
bromid-oxid europitý;EuBrO
bromid-oxid gadolinitý;GdBrO
bromid-oxid kalifornitý;CfBrO
bromid-oxid lanthanitý;LaBrO
bromid-oxid neodymitý;NdBrO
bromid-oxid plutonitý;PuBrO
bromid-oxid praseodymitý;PrBrO
bromid-oxid promethitý;PmBrO
bromid-oxid samaritý;SmBrO
bromid-oxid terbitý;TbBrO
bromid-oxid vanaditý;VBrO
bromid-oxid ytterbitý;YbBrO
bromid-oxid yttritý;YBrO
bromid-selenid bismutitý;BiBrSe
bromid-sulfid bismutitý;BiBrS
bromid-tellurid bismutitý;BiBrTe
bromid-trifluorid uhličitý;CBrF3
bromid-trihydroxid měďnatý;Cu2Br(OH)3
bromid-trichlorid cíničitý;SnBrCl3
bromid-trichlorid uhličitý;CBrCl3
bromkyan;BrCN
bromid kyanu;
bromovodík;HBr
cer;Ce
cesium;Cs
cín;Sn
curium;Cm
dekaboran;B10H6
dekafluorid disíry;S2F10
dekahydrát difosforečnanu tetrasodného;Na4P2O7.10H2O
dekahydrát heptaoxodifosforečnanu sodného;
dekahydrát heptaoxodifosforečnanu tetrasodného;
dekahydrát chromanu sodného;Na2CrO4.10H2O
dekahydrát chromanu disodného;
dekahydrát tetraoxochromanu sodného;
dekahydrát tetraoxochromanu disodného;
dekahydrát mangananu sodného;Na2MnO4.10H2O
dekahydrát mangananu disodného;
dekahydrát tetraoxomangananu sodného;
dekahydrát tetraoxomangananu disodného;
dekahydrát selenanu sodného;Na2SeO4.10H2O
dekahydrát selenanu disodného;
dekahydrát tetraoxoselenanu sodného;
dekahydrát tetraoxoselenanu disodného;
dekahydrát síranu sodného;Na2SO4.10H2O
dekahydrát síranu disodného;
dekahydrát tetraoxosíranu sodného;
dekahydrát tetraoxosíranu disodného;
dekahydrát tetraboritanu sodného;Na2B4O7.10H2O
dekahydrát tetraboritanu disodného;
dekahydrát heptaoxotetraboritanu sodného;
dekahydrát heptaoxotetraboritanu disodného;
dekahydrát uhličitanu sodného;Na2CO3.10H2O
dekahydrát uhličitanu disodného;
dekahydrát trioxouhličitanu sodného;
dekahydrát trioxouhličitanu disodného;
dekahydrát vanadičnanu trisodného;Na3VO4.10H2O
dekahydrát tetraoxovanadičnanu sodného;
dekahydrát tetraoxovanadičnanu trisodného;
dekasulfid tetrafosforu;P4S10
diammin-tetranitrokobaltitan amonný;(NH4)[Co(NH3)2(NO2)4]
diammin-tetranitrokobaltitan draselný;K[Co(NH3)2(NO2)4]
diantimoničnan dikademnatý;Cd2Sb2O7
heptaoxodiantimoničnan kademnatý;
heptaoxodiantimoničnan dikademnatý;
diantimoničnan diolovnatý;Pb2Sb2O7
heptaoxodiantimoničnan olovnatý;
heptaoxodiantimoničnan diolovnatý;
diantimoničnan divápenatý;Ca2Sb2O7
heptaoxodiantimoničnan vápenatý;
heptaoxodiantimoničnan divápenatý;
diantimonid trizinku;Zn3Sb2
diantimonid zlata;AuSb2
diarsenid kobaltu;CoAs2
diarsenid niklu;NiAs2
diarsenid niobu;NbAs2
diarsenid platiny;PtAs2
diarsenid trizinku;Zn3As2
diarsenid wolframu;WAs2
