aktinium;Ac
fluorid americičitý;AmF4
fluorid americitý;AmF3
fluorid amonný;NH4F
fluorid antimoničný;SbF5
fluorid antimonitý;SbF3
fluorid arseničný;AsF5
fluorid arsenitý;AsF3
fluorid barnatý;BaF2
fluorid berkelitý;BkF3
fluorid beryllnatý;BeF2
fluorid bismutičný;BiF5
fluorid bismutitý;BiF3
fluorid boritý;BF3
fluorid bromičný;BrF5
fluorid bromitý;BrF3
fluorid bromný;BrF
fluorid ceritý;CeF3
fluorid cesný;CsF
fluorid cínatý;SnF2
fluorid cíničitý;SnF4
fluorid curičitý;CmF4
fluorid curitý;CmF3
fluorid distříbra;Ag2F
fluorid draselný;KF
fluorid dysprositý;DyF3
fluorid erbitý;ErF3
fluorid europitý;EuF3
fluorid europnatý;EuF2
fluorid fosforečný;PF5
fluorid fosforitý;PF3
fluorid fosforylu;POF3
fluorid gadolinitý;GdF3
fluorid gallitý;GaF3
fluorid germaničitý;GeF4
fluorid hafničitý;HfF4
fluorid hlinitý;AlF3
trifluoralan;
fluorid holmitý;HoF3
fluorid hořečnatý;MgF2
fluorid chlorečný;ClF5
fluorid chloritý;ClF3
fluorid chlorný;ClF
fluorid chromitý;CrF3
fluorid chromnatý;CrF2
fluorid inditý;InF3
fluorid iridový;IrF6
fluorid jodičný;IF5
fluorid jodistý;IF7
fluorid kademnatý;CdF2
fluorid kalifornitý;CfF3
fluorid kobaltitý;CoF3
fluorid kobaltnatý;CoF2
fluorid křemičitý;SiF4
fluorid lanthanitý;LaF3
fluorid lithný;LiF
fluorid lutecitý;LuF3
fluorid manganatý;MnF2
fluorid manganitý;MnF3
fluorid měďnatý;CuF2
fluorid měďný;CuF
fluorid molybdenový;MoF6
fluorid neodymitý;NdF3
fluorid neptuničitý;NpF4
fluorid neptuniový;NpF6
fluorid neptunitý;NpF3
fluorid nikelnatý;NiF2
fluorid niobičitý;NbF4
fluorid niobičný;NbF5
fluorid nitrosylu;NOF
fluorid nitrylu;NO2F
fluorid olovnatý;PbF2
fluorid osmičelý;OsF8
fluorid osmiový;OsF6
fluorid palladitý;PdF3
fluorid palladnatý;PdF2
fluorid platičitý;PtF4
fluorid plutoničitý;PuF4
fluorid plutoniový;PuF6
fluorid plutonitý;PuF3
fluorid praseodymičitý;PrF4
fluorid praseodymitý;PrF3
fluorid promethitý;PmF3
fluorid protaktiničitý;PaF4
fluorid protaktiničný;PaF5
fluorid rheničitý;ReF4
fluorid rheniový;ReF6
fluorid rhoditý;RhF3
fluorid rtuťnatý;HgF2
fluorid rtuťný;HgF
;Hg2F2
fluorid rubidný;RbF
fluorid rutheničný;RuF5
fluorid rutheniový;RuF6
fluorid ruthenitý;RuF3
fluorid samaritý;SmF3
fluorid selenový;SeF6
fluorid sirnatý;SF2
fluorid sirný;SF
;S2F2
fluorid sírový;SF6
fluorid siřičitý;SF4
fluorid skanditý;ScF3
fluorid sodný;NaF
fluorid strontnatý;SrF2
fluorid stříbrnatý;AgF2
fluorid stříbrný;AgF
fluorid sulfurylu;SO2F2
fluorid tantaličný;TaF5
fluorid tantalitý;TaF3
fluorid tellurový;TeF6
fluorid terbičitý;TbF4
fluorid terbitý;TbF3
fluorid thallitý;TlF3
fluorid thallný;TlF
fluorid thiofosforylu;PSF3
fluorid thionylu;SOF2
fluorid thoričitý;ThF4
fluorid thulitý;TmF3
fluorid titaničitý;TiF4
fluorid titanitý;TiF3
fluorid uhličitý;CF4
fluorid uraničitý;UF4
fluorid uraničný;UF5
fluorid uranitý;UF3
fluorid uranový;UF6
fluorid uranylu;UO2F2
fluorid vanadičitý;VF4
fluorid vanadičný;VF5
fluorid vanaditý;VF3
fluorid vápenatý;CaF2
fluorid wolframový;WF6
fluorid xenonatý;XeF2
fluorid xenoničitý;XeF4
fluorid xenonový;XeF6
fluorid ytterbitý;YbF3
fluorid yttritý;YF3
fluorid zinečnatý;ZnF2
fluorid zirkoničitý;ZrF4
fluorid železitý;FeF3
fluorid železnatý;FeF2
fluorid-dioxid chlorečný;ClFO2
fluorid-oxid aktinitý;AcFO
fluorid-oxid bismutitý;BiFO
fluorid-oxid ceritý;CeFO
fluorid-oxid gadolinitý;GdFO
fluorid-oxid holmitý;HoFO
fluorid-oxid kalifornitý;CfFO
fluorid-oxid lanthanitý;LaFO
fluorid-oxid neodymitý;NdFO
fluorid-oxid plutonitý;PuFO
fluorid-oxid praseodymitý;PrFO
fluorid-oxid samaritý;SmFO
fluorid-oxid yttritý;YFO
fluorid-trioxid chloristý;ClFO3
fluorid-tris(fosforečnan) pentavápenatý;Ca5F(PO4)3
fluoro-trioxochroman draselný;K[CrFO3]
fluorodusík;NF3
trifluoramin;
fluorovodík;HF
fosfan;PH3
fosfin;
fosfid boritý;BP
fosfid dikobaltu;Co2P
fosfid diniklu;Ni2P
fosfid diwolframu;W2P
fosfid diželeza;Fe2P
fosfid gallitý;GaP
fosfid hořečnatý;Mg3P2
fosfid chromu;CrP
fosfid kademnatý;Cd3P2
fosfid manganu;MnP
fosfid molybdenu;MoP
fosfid niobu;NbP
fosfid titanu;TiP
fosfid trimědi;Cu3P
fosfid triniklu;Ni3P
fosfid triželeza;Fe3P
fosfid vápenatý;Ca3P2
fosfid zinečnatý;Zn3P2
fosfor;P
fosforečnan amonný;NH4PO3
trioxofosforečnan amonný;
fosforečnan bismutitý;BiPO4
tetraoxofosforečnan bismutitý;
fosforečnan ceritý;CePO4
tetraoxofosforečnan ceritý;
fosforečnan cínatý;Sn(PO3)2
trioxofosforečnan cínatý;
bis(fosforečnan) cínatý;
fosforečnan curitý;CmPO4
tetraoxofosforečnan curitý;
fosforečnan draselno-strontnatý;KSrPO4
fosforečnan hlinitý;AlPO4
tetraoxofosforečnan hlinitý;
fosforečnan lanthanitý;LaPO4
tetraoxofosforečnan lanthanitý;
fosforečnan molybdenový;Mo(PO3)6
trioxofosforečnan molybdenový;
hexakis(fosforečnan) molybdenový;
fosforečnan neodymitý;NdPO4
tetraoxofosforečnan neodymitý;
fosforečnan plutoničitý;Pu(PO3)4
trioxofosforečnan plutoničitý;
tetrakis(fosforečnan) plutoničitý;
fosforečnan praseodymitý;PrPO4
tetraoxofosforečnan praseodymitý;
fosforečnan sodno-strontnatý;NaSr(PO)4
fosforečnan sodno-vápenatý;NaCaPO4
fosforečnan sodný;NaPO3
trioxofosforečnan sodný;
fosforečnan thoričitý;Th(PO3)4
trioxofosforečnan thoričitý;
tetrakis(fosforečnan) thoričitý;
fosforečnan tribarnatý;Ba3(PO4)2
tetraoxofosforečnan barnatý;
tetraoxofosforečnan tribarnatý;
bis(fosforečnan) tribarnatý;
fosforečnan tricínatý;Sn3(PO4)2
tetraoxofosforečnan cínatý;
tetraoxofosforečnan tricínatý;
bis(fosforečnan) tricínatý;
fosforečnan tridraselný;K3PO4
tetraoxofosforečnan draselný;
tetraoxofosforečnan tridraselný;
fosforečnan trihořečnatý;Mg3(PO4)2
tetraoxofosforečnan hořečnatý;
tetraoxofosforečnan trihořečnatý;
bis(fosforečnan) trihořečnatý;
fosforečnan trikademnatý;Cd3(PO4)2
tetraoxofosforečnan kademnatý;
tetraoxofosforečnan trikademnatý;
bis(fosforečnan) trikademnatý;
fosforečnan trikobaltnatý;Co3(PO4)2
tetraoxofosforečnan kobaltnatý;
tetraoxofosforečnan trikobaltnatý;
bis(fosforečnan) trikobaltnatý;
fosforečnan triolovnatý;Pb3(PO4)2
tetraoxofosforečnan olovnatý;
tetraoxofosforečnan triolovnatý;
bis(fosforečnan) triolovnatý;
fosforečnan trisodný;Na3PO4
tetraoxofosforečnan sodný;
tetraoxofosforečnan trisodný;
fosforečnan tristrontnatý;Sr3(PO4)2
tetraoxofosforečnan strontnatý;
tetraoxofosforečnan tristrontnatý;
bis(fosforečnan) tristrontnatý;
fosforečnan tristříbrný;Ag3PO4
tetraoxofosforečnan stříbrný;
tetraoxofosforečnan tristříbrný;
fosforečnan trithallný;Tl3PO4
tetraoxofosforečnan thallný;
tetraoxofosforečnan trithallný;
fosforečnan trivápenatý;Ca3(PO4)2
tetraoxofosforečnan vápenatý;
tetraoxofosforečnan trivápenatý;
bis(fosforečnan) trivápenatý;
fosforečnan trizinečnatý;Zn3(PO4)2
tetraoxofosforečnan zinečnatý;
tetraoxofosforečnan trizinečnatý;
bis(fosforečnan) trizinečnatý;
fosforečnan yttritý;YPO4
tetraoxofosforečnan yttritý;
francium;Fr
fulminát stříbrný;AgONC
gadolinium;Gd
gallium;Ga
german;GeH4
germanium;Ge
hafnium;Hf
hassium;Hs
hélium;He
hemihydrát dusičnanu rtuťnatého;Hg(NO3)2.1/2H2O
hemihydrát trioxodusičnanu rtuťnatého;
bis(dusičnan) rtuťnatý hemihydrát;
hemihydrát fosforečnanu aktinitého;AcPO4.1/2H2O
hemihydrát tetraoxofosforečnanu aktinitého;
hemihydrát fosforečnanu americitého;AmPO4.1/2H2O
hemihydrát tetraoxofosforečnanu americitého;
hemihydrát fosforečnanu plutonitého;PuPO4.1/2H2O
hemihydrát tetraoxofosforečnanu plutonitého;
hemihydrát síranu vápenatého;CaSO4.1/2H2O
hemihydrát tetraoxosíranu vápenatého;
hemipentahydrát chloridu kademnatého;CdCl2.5/2H2O
henikosahydrát dekamolybdenanu sodného;Na2Mo10O31.21H2O
henikosahydrát dekamolybdenanu disodného;
henikosahydrát 31-oxodekamolybdenanu sodného;
henikosahydrát 31-oxodekamolybdenanu disodného;
heptafluorohafničitan amonný;(NH4)3[HfF7]
heptafluorotantaličnan draselný;K2[TaF7]
heptafluorozirkoničitan amonný;(NH4)2[ZrF7]
heptahydrát bromidu lanthanitého;LaBr3.7H2O
heptahydrát dihydrogenarseničnanu sodného;NaH2AsO4.7H2O
heptahydrát dihydrogentetraoxoarseničnanu sodného;
heptahydrát hydrogenarseničnanu hořečnatého;MgHAsO4.7H2O
heptahydrát hydrogentetraoxoarseničnanu hořečnatého;
heptahydrát hydrogenfosforečnanu hořečnatého;MgHPO4.7H2O
heptahydrát hydrogentetraoxofosforečnanu hořečnatého;
heptahydrát chloridu lanthanitého;LaCl3.7H2O
heptahydrát chloridu praseodymitého;PrCl3.7H2O
heptahydrát chloridu thulitého;TmCl3.7H2O
heptahydrát chromanu hořečnatého;MgCrO4.7H2O
heptahydrát tetraoxochromanu hořečnatého;
heptahydrát síranu hořečnatého;MgSO4.7H2O
heptahydrát tetraoxosíranu hořečnatého;
heptahydrát síranu kobaltnatého;CoSO4.7H2O
heptahydrát tetraoxosíranu kobaltnatého;
heptahydrát síranu manganatého;MnSO4.7H2O
heptahydrát tetraoxosíranu manganatého;
heptahydrát síranu nikelnatého;NiSO4.7H2O
heptahydrát tetraoxosíranu nikelnatého;
heptahydrát síranu vanadnatého;VSO4.7H2O
heptahydrát tetraoxosíranu vanadnatého;
heptahydrát síranu zinečnatého;ZnSO4.7H2O
heptahydrát tetraoxosíranu zinečnatého;
heptahydrát síranu železnatého;FeSO4.7H2O
heptahydrát tetraoxosíranu železnatého;
heptahydrát siřičitanu sodného;Na2SO3.7H2O
heptahydrát siřičitanu disodného;
heptahydrát trioxosiřičitanu sodného;
heptahydrát trioxosiřičitanu disodného;
heptahydrát trimolybdenanu sodného;Na2Mo3O10.7H2O
heptahydrát trimolybdenanu disodného;
heptahydrát dekaoxotrimolybdenanu sodného;
heptahydrát dekaoxotrimolybdenanu disodného;
heptahydrát uhličitanu sodného;Na2CO3.7H2O
heptahydrát uhličitanu disodného;
heptahydrát trioxouhličitanu sodného;
heptahydrát trioxouhličitanu disodného;
heptamolybdenan trivápenatý;Ca3Mo7O24
24-oxoheptamolybdenan vápenatý;
24-oxoheptamolybdenan trivápenatý;
heptaoxid tetraterbia;Tb4O7
heptaoxid triuranu;U3O7
heptasulfid tetrafosforu;P4S7
hexaboran;B6H6
hexaborid ceru;CeB6
hexaborid lanthanu;LaB6
hexaborid thoria;ThB6
hexaborid vápníku;CaB6
hexabromoplatičitan draselný;K2[PtBr6]
hexabromoseleničitan draselný;K2[SeBr6]
hexadekahydrát heptawolframanu hexasodného;Na6W7O24.16H2O
hexadekahydrát 24-oxoheptawolframanu sodného;
hexadekahydrát 24-oxoheptawolframanu hexasodného;
hexafluordisilan;Si2F6
hexafluorid dikřemičitý;
hexafluoroantimoničnan sodný;Na[SbF6]
hexafluorofosforečnan draselný;K[PF6]
hexafluorohlinitan amonný;(NH4)3[AlF6]
hexafluorohlinitan sodný;Na3[AlF6]
hexafluorokřemičitan amonný;(NH4)2[SiF6]
hexafluorokřemičitan barnatý;Ba[SiF6]
hexafluorokřemičitan cesný;Cs2[SiF6]
hexafluorokřemičitan draselný;K2[SiF6]
hexafluorokřemičitan rubidný;Rb2[SiF6]
hexafluorokřemičitan sodný;Na2[SiF6]
hexafluoromanganičitan draselný;K2[MnF6]
hexafluoroolovičitan lithný;Li2[PbF6]
hexafluoroolovičitan strontnatý;Sr[PbF6]
hexafluoroolovnatan draselný;K4[PbF6]
hexafluorotitaničitan amonný;(NH4)2[TiF6]
hexafluorozirkoničitan amonný;(NH4)2[ZrF6]
hexafluorozirkoničitan draselný;K2[ZrF6]
hexahydrát bromičnanu hořečnatého;Mg(BrO3)2.6H2O
hexahydrát trioxobromičnanu hořečnatého;
bis(bromičnan) hořečnatý hexahydrát;
hexahydrát bromičnanu kobaltnatého;Co(BrO3)2.6H2O
hexahydrát trioxobromičnanu kobaltnatého;
bis(bromičnan) kobaltnatý hexahydrát;
hexahydrát bromičnanu měďnatého;Cu(BrO3)2.6H2O
hexahydrát trioxobromičnanu měďnatého;
bis(bromičnan) měďnatý hexahydrát;
hexahydrát bromičnanu nikelnatého;Ni(BrO3)2.6H2O
hexahydrát trioxobromičnanu nikelnatého;
bis(bromičnan) nikelnatý hexahydrát;
hexahydrát bromičnanu zinečnatého;Zn(BrO3)2.6H2O
hexahydrát trioxobromičnanu zinečnatého;
bis(bromičnan) zinečnatý hexahydrát;
hexahydrát bromidu gadolinitého;GdBr3.6H2O
hexahydrát bromidu hořečnatého;MgBr2.6H2O
hexahydrát bromidu kalifornitého;CfBr3.6H2O
hexahydrát bromidu kobaltnatého;CoBr2.6H2O
hexahydrát bromidu samaritého;SmBr3.6H2O
hexahydrát bromidu strontnatého;SrBr2.6H2O
hexahydrát bromidu titanitého;TiBr3.6H2O
hexahydrát bromidu vápenatého;CaBr2.6H2O
hexahydrát bromidu železitého;FeBr3.6H2O
hexahydrát dusičnanu ceritého;Ce(NO3)3.6H2O
hexahydrát trioxodusičnanu ceritého;
tris(dusičnan) ceritý hexahydrát;
hexahydrát dusičnanu dysprositého;Dy(NO3)3.6H2O
hexahydrát trioxodusičnanu dysprositého;
tris(dusičnan) dysprositý hexahydrát;
hexahydrát dusičnanu europitého;Eu(NO3)3.6H2O
hexahydrát trioxodusičnanu europitého;
tris(dusičnan) europitý hexahydrát;
hexahydrát dusičnanu gadolinitého;Gd(NO3)3.6H2O
hexahydrát trioxodusičnanu gadolinitého;
tris(dusičnan) gadolinitý hexahydrát;
hexahydrát dusičnanu hořečnatého;Mg(NO3)2.6H2O
hexahydrát trioxodusičnanu hořečnatého;
bis(dusičnan) hořečnatý hexahydrát;
hexahydrát dusičnanu kobaltnatého;Co(NO3)2.6H2O
hexahydrát trioxodusičnanu kobaltnatého;
bis(dusičnan) kobaltnatý hexahydrát;
hexahydrát dusičnanu lanthanitého;La(NO3)3.6H2O
hexahydrát trioxodusičnanu lanthanitého;
tris(dusičnan) lanthanitý hexahydrát;
hexahydrát dusičnanu manganatého;Mn(NO3)2.6H2O
hexahydrát trioxodusičnanu manganatého;
bis(dusičnan) manganatý hexahydrát;
hexahydrát dusičnanu měďnatého;Cu(NO3)2.6H2O
hexahydrát trioxodusičnanu měďnatého;
bis(dusičnan) měďnatý hexahydrát;
hexahydrát dusičnanu neodymitého;Nd(NO3)3.6H2O
hexahydrát trioxodusičnanu neodymitého;
tris(dusičnan) neodymitý hexahydrát;
hexahydrát dusičnanu nikelnatého;Ni(NO3)2.6H2O
hexahydrát trioxodusičnanu nikelnatého;
bis(dusičnan) nikelnatý hexahydrát;
hexahydrát dusičnanu praseodymitého;Pr(NO3)3.6H2O
hexahydrát trioxodusičnanu praseodymitého;
tris(dusičnan) praseodymitý hexahydrát;
hexahydrát dusičnanu samaritého;Sm(NO3)3.6H2O
hexahydrát trioxodusičnanu samaritého;
tris(dusičnan) samaritý hexahydrát;
hexahydrát dusičnanu terbitého;Tb(NO3)3.6H2O
hexahydrát trioxodusičnanu terbitého;
tris(dusičnan) terbitý hexahydrát;
hexahydrát dusičnanu uranylu;UO2(NO3)2.6H2O
hexahydrát dusičnanu yttritého;Y(NO3)3.6H2O
hexahydrát trioxodusičnanu yttritého;
tris(dusičnan) yttritý hexahydrát;
hexahydrát dusičnanu zinečnatého;Zn(NO3)2.6H2O
hexahydrát trioxodusičnanu zinečnatého;
bis(dusičnan) zinečnatý hexahydrát;
hexahydrát dusičnanu železnatého;Fe(NO3)2.6H2O
hexahydrát trioxodusičnanu železnatého;
bis(dusičnan) železnatý hexahydrát;
hexahydrát fosforečnanu chromitého;CrPO4.6H2O
hexahydrát tetraoxofosforečnanu chromitého;
hexahydrát hydrogensulfidu vápenatého;Ca(HS)2.6H2O
hexahydrát chlorečnanu hořečnatého;Mg(ClO3)2.6H2O
hexahydrát trioxochlorečnanu hořečnatého;
bis(chlorečnan) hořečnatý hexahydrát;
hexahydrát chlorečnanu měďnatého;Cu(ClO3)2.6H2O
hexahydrát trioxochlorečnanu měďnatého;
bis(chlorečnan) měďnatý hexahydrát;
hexahydrát chlorečnanu nikelnatého;Ni(ClO3)2.6H2O
hexahydrát trioxochlorečnanu nikelnatého;
bis(chlorečnan) nikelnatý hexahydrát;
hexahydrát chloridu berkelitého;BkCl3.6H2O
hexahydrát chloridu erbitého;ErCl3.6H2O
hexahydrát chloridu gadolinitého;GdCl3.6H2O
hexahydrát chloridu hlinitého;AlCl3.6H2O
hexahydrát chloridu hořečnatého;MgCl2.6H2O
hexahydrát chloridu kobaltnatého;CoCl2.6H2O
hexahydrát chloridu neodymnatého;NdCl2.6H2O
hexahydrát chloridu nikelnatého;NiCl2.6H2O
hexahydrát chloridu samaritého;SmCl3.6H2O
hexahydrát chloridu terbitého;TbCl3.6H2O
hexahydrát chloridu vápenatého;CaCl2.6H2O
hexahydrát chloridu ytterbitého;YbCl3.6H2O
hexahydrát chloridu yttritého;YCl3.6H2O
hexahydrát chloridu železitého;FeCl3.6H2O
hexahydrát chloridu železnatého;FeCl2.6H2O
hexahydrát chloristanu hořečnatého;Mg(ClO4)2.6H2O
hexahydrát tetraoxochloristanu hořečnatého;
bis(chloristan) hořečnatý hexahydrát;
hexahydrát chloristanu kobaltnatého;Co(ClO4)2.6H2O
hexahydrát tetraoxochloristanu kobaltnatého;
bis(chloristan) kobaltnatý hexahydrát;
hexahydrát chloristanu měďnatého;Cu(ClO4)2.6H2O
hexahydrát tetraoxochloristanu měďnatého;
bis(chloristan) měďnatý hexahydrát;
hexahydrát chloristanu nikelnatého;Ni(ClO4)2.6H2O
hexahydrát tetraoxochloristanu nikelnatého;
bis(chloristan) nikelnatý hexahydrát;
hexahydrát chloristanu rtuťnatého;Hg(ClO4)2.6H2O
hexahydrát tetraoxochloristanu rtuťnatého;
bis(chloristan) rtuťnatý hexahydrát;
hexahydrát chloristanu zinečnatého;Zn(ClO4)2.6H2O
hexahydrát tetraoxochloristanu zinečnatého;
bis(chloristan) zinečnatý hexahydrát;
hexahydrát jodičnanu vápenatého;Ca(IO3)2.6H2O
hexahydrát trioxojodičnanu vápenatého;
bis(jodičnan) vápenatý hexahydrát;
hexahydrát jodidu kobaltnatého;CoI2.6H2O
hexahydrát jodidu vápenatého;CaI2.6H2O
hexahydrát manganistanu kademnatého;Cd(MnO4)2.6H2O
hexahydrát tetraoxomanganistanu kademnatého;
bis(manganistan) kademnatý hexahydrát;
hexahydrát selenanu hořečnatého;MgSeO4.6H2O
hexahydrát tetraoxoselenanu hořečnatého;
hexahydrát selenanu nikelnatého;NiSeO4.6H2O
hexahydrát tetraoxoselenanu nikelnatého;
hexahydrát síranu hořečnatého;MgSO4.6H2O
hexahydrát tetraoxosíranu hořečnatého;
hexahydrát síranu kobaltnatého;CoSO4.6H2O
hexahydrát tetraoxosíranu kobaltnatého;
hexahydrát síranu nikelnatého;NiSO4.6H2O
hexahydrát tetraoxosíranu nikelnatého;
hexahydrát síranu skanditého;Sc2(SO4)3.6H2O
hexahydrát síranu diskanditého;
hexahydrát tetraoxosíranu skanditého;
hexahydrát tetraoxosíranu diskanditého;
tris(síran) skanditý hexahydrát;
tris(síran) diskanditý hexahydrát;
hexahydrát síranu zinečnatého;ZnSO4.6H2O
hexahydrát tetraoxosíranu zinečnatého;
hexahydrát siřičitanu hořečnatého;MgSO3.6H2O
hexahydrát trioxosiřičitanu hořečnatého;
hexahydrát sulfidu sodného;Na2S.6H2O
hexahydrát tetramolybdenanu sodného;Na2Mo4O13.6H2O
hexahydrát tetramolybdenanu disodného;
hexahydrát 13-oxotetramolybdenanu sodného;
hexahydrát 13-oxotetramolybdenanu disodného;
hexahydrát thiosíranu hořečnatého;MgS2O3.6H2O
hexahydrát thiosíranu vápenatého;CaS2O3.6H2O
hexahydrát uhličitanu vápenatého;CaCO3.6H2O
hexahydrát trioxouhličitanu vápenatého;
hexahydrát xenoničelanu tetrasodného;Na4XeO6.6H2O
hexahydrát hexaoxoxenoničelanu sodného;
hexahydrát hexaoxoxenoničelanu tetrasodného;
hexahydroxoolovičitan sodný;Na2[Pb(OH)6]
hexachlordisilan;Si2Cl6
hexachlorid dikřemičitý;
hexachloroiridičitan draselný;K2[IrCl6]
hexachloroolovičitan amonný;(NH4)2[PbCl6]
hexachloroolovičitan draselný;K2[PbCl6]
hexachloropalladičitan amonný;(NH4)2[PdCl6]
hexachloropalladičitan draselný;K2[PdCl6]
hexachloroplatičitan amonný;(NH4)2[PtCl6]
hexachloroplatičitan draselný;K2[PtCl6]
hexachloropoloničitan amonný;(NH4)2[PoCl6]
hexachlororheničitan draselný;K2[ReCl6]
hexakarbonyl chromu;Cr(CO)6
hexakarbonyl molybdenu;Mo(CO)6
hexakarbonyl wolframu;W(CO)6
hexakyanochromitan draselný;K3[Cr(CN)6]
hexakyanoželezitan draselný;K3[Fe(CN)6]
hexanitratoceričitan amonný;(NH4)2[Ce(NO3)6]
hexanitrokobaltitan draselný;K3[Co(NO2)6]
hexaoxid barnato-diniobičný;BaNb2O6
;BaO.Nb2O5
hexaoxid strontnato-diniobičný;SrNb2O6
;SrO.Nb2O5
hexaoxid vápenato-diniobičný;CaNb2O6
;CaO.Nb2O5
hliník;Al
hlinitan lithný;LiAlO2
dioxohlinitan lithný;
holmium;Ho
hořčík;Mg
hydrazin;N2H4
hydrid barnatý;BaH2
hydrid cesný;CsH
hydrid draselný;KH
hydrid lithný;LiH
hydrid měďný;CuH
hydrid niobu;NbH
hydrid rubidný;RbH
hydrid sodný;NaH
hydrid strontnatý;SrH2
hydrid stříbrný;AgH
hydrid uranitý;UH3
hydrid vápenatý;CaH2
hydrid zirkoničitý;ZrH4
hydrogenarseničnan amonný;(NH4)2HAsO4
hydrogenarseničnan diamonný;
hydrogentetraoxoarseničnan amonný;
hydrogentetraoxoarseničnan diamonný;
hydrogenarseničnan draselný;K2HAsO4
hydrogenarseničnan didraselný;
hydrogentetraoxoarseničnan draselný;
hydrogentetraoxoarseničnan didraselný;
hydrogenarseničnan olovnatý;PbHAsO4
hydrogentetraoxoarseničnan olovnatý;
hydrogendifluorid amonný;NH4HF2
hydrogendifluorid cesný;CsHF2
hydrogendifluorid draselný;KHF2
hydrogenfosforečnan amonný;(NH4)2HPO4
hydrogenfosforečnan diamonný;
hydrogentetraoxofosforečnan amonný;
hydrogentetraoxofosforečnan diamonný;
hydrogenfosforečnan barnatý;BaHPO4
hydrogentetraoxofosforečnan barnatý;
hydrogenfosforečnan cínatý;SnHPO4
hydrogentetraoxofosforečnan cínatý;
hydrogenfosforečnan draselný;K2HPO4
hydrogenfosforečnan didraselný;
hydrogentetraoxofosforečnan draselný;
hydrogentetraoxofosforečnan didraselný;
hydrogenfosforečnan olovnatý;PbHPO4
hydrogentetraoxofosforečnan olovnatý;
hydrogenfosforečnan sodný;Na2HPO4
hydrogenfosforečnan disodný;
hydrogentetraoxofosforečnan sodný;
hydrogentetraoxofosforečnan disodný;
hydrogenfosforečnan stříbrný;Ag2HPO4
hydrogenfosforečnan distříbrný;
hydrogentetraoxofosforečnan stříbrný;
hydrogentetraoxofosforečnan distříbrný;
hydrogenfosforečnan vápenatý;CaHPO4
hydrogentetraoxofosforečnan vápenatý;
hydrogenfosforitan olovnatý;PbHPO3
hydrogentrioxofosforitan olovnatý;
hydrogenjodistan stříbrný;Ag2HIO5
hydrogenjodistan distříbrný;
hydrogenpentaoxojodistan stříbrný;
hydrogenpentaoxojodistan distříbrný;
hydrogenselenan draselný;KHSeO4
hydrogentetraoxoselenan draselný;
hydrogenselenid sodný;NaHSe
hydrogensíran amonný;NH4HSO4
hydrogentetraoxosíran amonný;
hydrogensíran cesný;CsHSO4
hydrogentetraoxosíran cesný;
hydrogensíran draselný;KHSO4
hydrogentetraoxosíran draselný;
hydrogensíran lithný;LiHSO4
hydrogentetraoxosíran lithný;
hydrogensíran sodný;NaHSO4
hydrogentetraoxosíran sodný;
hydrogensíran thallný;TlHSO4
hydrogentetraoxosíran thallný;
hydrogensiřičitan amonný;NH4HSO3
hydrogentrioxosiřičitan amonný;
hydrogensiřičitan sodný;NaHSO3
hydrogentrioxosiřičitan sodný;
hydrogensulfid amonný;NH4HS
hydrogensulfid draselný;KHS
hydrogensulfid sodný;NaHS
hydrogenuhličitan amonný;NH4HCO3
hydrogentrioxouhličitan amonný;
hydrogenuhličitan barnatý;Ba(HCO3)2
hydrogentrioxouhličitan barnatý;
bis(hydrogenuhličitan) barnatý;
hydrogenuhličitan draselný;KHCO3
hydrogentrioxouhličitan draselný;
hydrogenuhličitan sodný;NaHCO3
hydrogentrioxouhličitan sodný;
hydrogenuhličitan vápenatý;Ca(HCO3)2
hydrogentrioxouhličitan vápenatý;
bis(hydrogenuhličitan) vápenatý;
hydroxid aktinitý;Ac(OH)3
hydroxid americitý;Am(OH)3
hydroxid barnatý;Ba(OH)2
hydroxid beryllnatý;Be(OH)2
hydroxid ceritý;Ce(OH)3
hydroxid cesný;CsOH
hydroxid draselný;KOH
hydroxid erbitý;Er(OH)3
hydroxid europitý;Eu(OH)3
hydroxid gadolinitý;Gd(OH)3
hydroxid hlinitý;Al(OH)3
hydroxid holmitý;Ho(OH)3
hydroxid hořečnatý;Mg(OH)2
hydroxid inditý;In(OH)3
hydroxid kademnatý;Cd(OH)2
hydroxid kobaltnatý;Co(OH)2
hydroxid lanthanitý;La(OH)3
hydroxid lithný;LiOH
hydroxid lutecitý;Lu(OH)3
hydroxid manganatý;Mn(OH)2
hydroxid měďnatý;Cu(OH)2
hydroxid molybdenitý;Mo(OH)3
hydroxid neodymitý;Nd(OH)3
hydroxid olovnatý;Pb(OH)2
hydroxid platnatý;Pt(OH)2
hydroxid praseodymitý;Pr(OH)3
hydroxid promethitý;Pm(OH)3
hydroxid rubidný;RbOH
hydroxid samaritý;Sm(OH)3
hydroxid skanditý;Sc(OH)3
hydroxid sodný;NaOH
hydroxid strontnatý;Sr(OH)2
hydroxid terbitý;Tb(OH)3
hydroxid thallitý;Tl(OH)3
hydroxid thallný;TlOH
hydroxid thulitý;Tm(OH)3
hydroxid vápenatý;Ca(OH)2
hydroxid ytterbitý;Yb(OH)3
hydroxid yttritý;Y(OH)3
hydroxid zinečnatý;Zn(OH)2
hydroxid zirkoničitý;Zr(OH)4
hydroxid zlatitý;Au(OH)3
